"","x"
"1","1007_s_at"
"2","1053_at"
"3","117_at"
"4","121_at"
"5","1255_g_at"
"6","1294_at"
"7","1316_at"
"8","1320_at"
"9","1405_i_at"
"10","1431_at"
"11","1438_at"
"12","1487_at"
"13","1494_f_at"
"14","1552256_a_at"
"15","1552257_a_at"
"16","1552258_at"
"17","1552261_at"
"18","1552263_at"
"19","1552264_a_at"
"20","1552266_at"
"21","1552269_at"
"22","1552271_at"
"23","1552272_a_at"
"24","1552274_at"
"25","1552275_s_at"
"26","1552276_a_at"
"27","1552277_a_at"
"28","1552278_a_at"
"29","1552279_a_at"
"30","1552280_at"
"31","1552281_at"
"32","1552283_s_at"
"33","1552286_at"
"34","1552287_s_at"
"35","1552288_at"
"36","1552289_a_at"
"37","1552291_at"
"38","1552293_at"
"39","1552295_a_at"
"40","1552296_at"
"41","1552299_at"
"42","1552301_a_at"
"43","1552302_at"
"44","1552303_a_at"
"45","1552304_at"
"46","1552306_at"
"47","1552307_a_at"
"48","1552309_a_at"
"49","1552310_at"
"50","1552311_a_at"
"51","1552312_a_at"
"52","1552314_a_at"
"53","1552315_at"
"54","1552316_a_at"
"55","1552318_at"
"56","1552319_a_at"
"57","1552320_a_at"
"58","1552321_a_at"
"59","1552322_at"
"60","1552323_s_at"
"61","1552325_at"
"62","1552326_a_at"
"63","1552327_at"
"64","1552329_at"
"65","1552330_at"
"66","1552332_at"
"67","1552334_at"
"68","1552335_at"
"69","1552337_s_at"
"70","1552338_at"
"71","1552340_at"
"72","1552343_s_at"
"73","1552344_s_at"
"74","1552347_at"
"75","1552348_at"
"76","1552349_a_at"
"77","1552354_at"
"78","1552355_s_at"
"79","1552359_at"
"80","1552360_a_at"
"81","1552362_a_at"
"82","1552364_s_at"
"83","1552365_at"
"84","1552367_a_at"
"85","1552368_at"
"86","1552370_at"
"87","1552372_at"
"88","1552373_s_at"
"89","1552375_at"
"90","1552377_s_at"
"91","1552378_s_at"
"92","1552379_at"
"93","1552381_at"
"94","1552383_at"
"95","1552384_a_at"
"96","1552386_at"
"97","1552388_at"
"98","1552389_at"
"99","1552390_a_at"
"100","1552391_at"
"101","1552393_at"
"102","1552394_a_at"
"103","1552395_at"
"104","1552396_at"
"105","1552398_a_at"
"106","1552399_a_at"
"107","1552400_a_at"
"108","1552401_a_at"
"109","1552402_at"
"110","1552405_at"
"111","1552408_at"
"112","1552409_a_at"
"113","1552410_at"
"114","1552411_at"
"115","1552412_a_at"
"116","1552414_at"
"117","1552415_a_at"
"118","1552417_a_at"
"119","1552418_at"
"120","1552419_s_at"
"121","1552421_a_at"
"122","1552422_at"
"123","1552423_at"
"124","1552424_at"
"125","1552425_a_at"
"126","1552426_a_at"
"127","1552427_at"
"128","1552430_at"
"129","1552432_at"
"130","1552436_a_at"
"131","1552438_a_at"
"132","1552439_s_at"
"133","1552440_at"
"134","1552445_a_at"
"135","1552448_a_at"
"136","1552449_a_at"
"137","1552450_a_at"
"138","1552452_at"
"139","1552453_a_at"
